INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	111	1	1	1	1
MIN	200	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
6	118	3	1	1	1
6	118	3	1	1	2
6	118	3	1	1	3
2	118	3	1	2	1
2	118	3	1	2	2
2	118	3	1	2	3
2	118	3	1	3	1
2	118	3	1	3	2
2	118	3	1	3	3
6	118	3	2	1	1
6	118	3	2	1	2
6	118	3	2	1	3
2	118	3	2	2	1
2	118	3	2	2	2
2	118	3	2	2	3
2	118	3	2	3	1
2	118	3	2	3	2
2	118	3	2	3	3
6	118	3	3	1	1
6	118	3	3	1	2
6	118	3	3	1	3
2	118	3	3	2	1
2	118	3	3	2	2
2	118	3	3	2	3
2	118	3	3	3	1
2	118	3	3	3	2
2	118	3	3	3	3
19	119	1	1	1	1
19	119	1	1	1	2
19	119	1	1	1	3
27	119	1	1	2	1
27	119	1	1	2	2
27	119	1	1	2	3
6	119	1	1	3	1
6	119	1	1	3	2
6	119	1	1	3	3
19	119	1	2	1	1
19	119	1	2	1	2
19	119	1	2	1	3
27	119	1	2	2	1
27	119	1	2	2	2
27	119	1	2	2	3
6	119	1	2	3	1
6	119	1	2	3	2
6	119	1	2	3	3
19	119	1	3	1	1
19	119	1	3	1	2
19	119	1	3	1	3
27	119	1	3	2	1
27	119	1	3	2	2
27	119	1	3	2	3
6	119	1	3	3	1
6	119	1	3	3	2
6	119	1	3	3	3
18	119	2	1	1	1
18	119	2	1	1	2
18	119	2	1	1	3
23	119	2	1	2	1
23	119	2	1	2	2
23	119	2	1	2	3
8	119	2	1	3	1
8	119	2	1	3	2
8	119	2	1	3	3
18	119	2	2	1	1
18	119	2	2	1	2
18	119	2	2	1	3
23	119	2	2	2	1
23	119	2	2	2	2
23	119	2	2	2	3
8	119	2	2	3	1
8	119	2	2	3	2
8	119	2	2	3	3
18	119	2	3	1	1
18	119	2	3	1	2
18	119	2	3	1	3
23	119	2	3	2	1
23	119	2	3	2	2
23	119	2	3	2	3
8	119	2	3	3	1
8	119	2	3	3	2
8	119	2	3	3	3
2	119	3	1	1	1
2	119	3	1	1	2
2	119	3	1	1	3
0	119	3	1	2	1
0	119	3	1	2	2
0	119	3	1	2	3
1	119	3	1	3	1
1	119	3	1	3	2
1	119	3	1	3	3
2	119	3	2	1	1
2	119	3	2	1	2
2	119	3	2	1	3
0	119	3	2	2	1
0	119	3	2	2	2
0	119	3	2	2	3
1	119	3	2	3	1
1	119	3	2	3	2
1	119	3	2	3	3
2	119	3	3	1	1
2	119	3	3	1	2
2	119	3	3	1	3
0	119	3	3	2	1
0	119	3	3	2	2
0	119	3	3	2	3
1	119	3	3	3	1
1	119	3	3	3	2
1	119	3	3	3	3
23	120	1	1	1	1
23	120	1	1	1	2
23	120	1	1	1	3
9	120	1	1	2	1
9	120	1	1	2	2
9	120	1	1	2	3
2	120	1	1	3	1
2	120	1	1	3	2
2	120	1	1	3	3
23	120	1	2	1	1
23	120	1	2	1	2
23	120	1	2	1	3
9	120	1	2	2	1
9	120	1	2	2	2
9	120	1	2	2	3
2	120	1	2	3	1
2	120	1	2	3	2
2	120	1	2	3	3
23	120	1	3	1	1
23	120	1	3	1	2
23	120	1	3	1	3
9	120	1	3	2	1
9	120	1	3	2	2
9	120	1	3	2	3
2	120	1	3	3	1
2	120	1	3	3	2
2	120	1	3	3	3
22	120	2	1	1	1
22	120	2	1	1	2
22	120	2	1	1	3
12	120	2	1	2	1
12	120	2	1	2	2
12	120	2	1	2	3
4	120	2	1	3	1
4	120	2	1	3	2
4	120	2	1	3	3
22	120	2	2	1	1
22	120	2	2	1	2
22	120	2	2	1	3
12	120	2	2	2	1
12	120	2	2	2	2
12	120	2	2	2	3
4	120	2	2	3	1
4	120	2	2	3	2
4	120	2	2	3	3
22	120	2	3	1	1
22	120	2	3	1	2
22	120	2	3	1	3
12	120	2	3	2	1
12	120	2	3	2	2
12	120	2	3	2	3
4	120	2	3	3	1
4	120	2	3	3	2
4	120	2	3	3	3
2	120	3	1	1	1
2	120	3	1	1	2
2	120	3	1	1	3
1	120	3	1	2	1
1	120	3	1	2	2
1	120	3	1	2	3
0	120	3	1	3	1
0	120	3	1	3	2
0	120	3	1	3	3
2	120	3	2	1	1
2	120	3	2	1	2
2	120	3	2	1	3
1	120	3	2	2	1
1	120	3	2	2	2
1	120	3	2	2	3
0	120	3	2	3	1
0	120	3	2	3	2
0	120	3	2	3	3
2	120	3	3	1	1
2	120	3	3	1	2
2	120	3	3	1	3
1	120	3	3	2	1
1	120	3	3	2	2
1	120	3	3	2	3
0	120	3	3	3	1
0	120	3	3	3	2
0	120	3	3	3	3
35	121	1	1	1	1
35	121	1	1	1	2
35	121	1	1	1	3
5	121	1	1	2	1
5	121	1	1	2	2
5	121	1	1	2	3
1	121	1	1	3	1
1	121	1	1	3	2
1	121	1	1	3	3
35	121	1	2	1	1
35	121	1	2	1	2
35	121	1	2	1	3
5	121	1	2	2	1
5	121	1	2	2	2
