INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	100	1	1	1	1
MIN	200	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
0	104	3	3	2	3
0	104	3	3	3	1
0	104	3	3	3	2
0	104	3	3	3	3
0	105	1	1	1	1
0	105	1	1	1	2
0	105	1	1	1	3
0	105	1	1	2	1
0	105	1	1	2	2
0	105	1	1	2	3
0	105	1	1	3	1
0	105	1	1	3	2
0	105	1	1	3	3
0	105	1	2	1	1
0	105	1	2	1	2
0	105	1	2	1	3
0	105	1	2	2	1
0	105	1	2	2	2
0	105	1	2	2	3
0	105	1	2	3	1
0	105	1	2	3	2
0	105	1	2	3	3
0	105	1	3	1	1
0	105	1	3	1	2
0	105	1	3	1	3
0	105	1	3	2	1
0	105	1	3	2	2
0	105	1	3	2	3
0	105	1	3	3	1
0	105	1	3	3	2
0	105	1	3	3	3
0	105	2	1	1	1
0	105	2	1	1	2
0	105	2	1	1	3
0	105	2	1	2	1
0	105	2	1	2	2
0	105	2	1	2	3
0	105	2	1	3	1
0	105	2	1	3	2
0	105	2	1	3	3
0	105	2	2	1	1
0	105	2	2	1	2
0	105	2	2	1	3
0	105	2	2	2	1
0	105	2	2	2	2
0	105	2	2	2	3
0	105	2	2	3	1
0	105	2	2	3	2
0	105	2	2	3	3
0	105	2	3	1	1
0	105	2	3	1	2
0	105	2	3	1	3
0	105	2	3	2	1
0	105	2	3	2	2
0	105	2	3	2	3
0	105	2	3	3	1
0	105	2	3	3	2
0	105	2	3	3	3
0	105	3	1	1	1
0	105	3	1	1	2
0	105	3	1	1	3
0	105	3	1	2	1
0	105	3	1	2	2
0	105	3	1	2	3
0	105	3	1	3	1
0	105	3	1	3	2
0	105	3	1	3	3
0	105	3	2	1	1
0	105	3	2	1	2
0	105	3	2	1	3
0	105	3	2	2	1
0	105	3	2	2	2
0	105	3	2	2	3
0	105	3	2	3	1
0	105	3	2	3	2
0	105	3	2	3	3
0	105	3	3	1	1
0	105	3	3	1	2
0	105	3	3	1	3
0	105	3	3	2	1
0	105	3	3	2	2
0	105	3	3	2	3
0	105	3	3	3	1
0	105	3	3	3	2
0	105	3	3	3	3
0	106	1	1	1	1
0	106	1	1	1	2
0	106	1	1	1	3
0	106	1	1	2	1
0	106	1	1	2	2
0	106	1	1	2	3
0	106	1	1	3	1
0	106	1	1	3	2
0	106	1	1	3	3
0	106	1	2	1	1
0	106	1	2	1	2
0	106	1	2	1	3
0	106	1	2	2	1
0	106	1	2	2	2
0	106	1	2	2	3
0	106	1	2	3	1
0	106	1	2	3	2
0	106	1	2	3	3
0	106	1	3	1	1
0	106	1	3	1	2
0	106	1	3	1	3
0	106	1	3	2	1
0	106	1	3	2	2
0	106	1	3	2	3
0	106	1	3	3	1
0	106	1	3	3	2
0	106	1	3	3	3
0	106	2	1	1	1
0	106	2	1	1	2
0	106	2	1	1	3
0	106	2	1	2	1
0	106	2	1	2	2
0	106	2	1	2	3
0	106	2	1	3	1
0	106	2	1	3	2
0	106	2	1	3	3
0	106	2	2	1	1
0	106	2	2	1	2
0	106	2	2	1	3
0	106	2	2	2	1
0	106	2	2	2	2
0	106	2	2	2	3
0	106	2	2	3	1
0	106	2	2	3	2
0	106	2	2	3	3
0	106	2	3	1	1
0	106	2	3	1	2
0	106	2	3	1	3
0	106	2	3	2	1
0	106	2	3	2	2
0	106	2	3	2	3
0	106	2	3	3	1
0	106	2	3	3	2
0	106	2	3	3	3
0	106	3	1	1	1
0	106	3	1	1	2
0	106	3	1	1	3
0	106	3	1	2	1
0	106	3	1	2	2
0	106	3	1	2	3
0	106	3	1	3	1
0	106	3	1	3	2
0	106	3	1	3	3
0	106	3	2	1	1
0	106	3	2	1	2
0	106	3	2	1	3
0	106	3	2	2	1
0	106	3	2	2	2
0	106	3	2	2	3
0	106	3	2	3	1
0	106	3	2	3	2
0	106	3	2	3	3
0	106	3	3	1	1
0	106	3	3	1	2
0	106	3	3	1	3
0	106	3	3	2	1
0	106	3	3	2	2
0	106	3	3	2	3
0	106	3	3	3	1
0	106	3	3	3	2
0	106	3	3	3	3
1	107	1	1	1	1
1	107	1	1	1	2
1	107	1	1	1	3
0	107	1	1	2	1
0	107	1	1	2	2
0	107	1	1	2	3
0	107	1	1	3	1
0	107	1	1	3	2
0	107	1	1	3	3
1	107	1	2	1	1
1	107	1	2	1	2
1	107	1	2	1	3
0	107	1	2	2	1
0	107	1	2	2	2
0	107	1	2	2	3
0	107	1	2	3	1
0	107	1	2	3	2
0	107	1	2	3	3
1	107	1	3	1	1
1	107	1	3	1	2
1	107	1	3	1	3
0	107	1	3	2	1
0	107	1	3	2	2
0	107	1	3	2	3
0	107	1	3	3	1
0	107	1	3	3	2
0	107	1	3	3	3
0	107	2	1	1	1
0	107	2	1	1	2
0	107	2	1	1	3
0	107	2	1	2	1
0	107	2	1	2	2
0	107	2	1	2	3
0	107	2	1	3	1
0	107	2	1	3	2
0	107	2	1	3	3
0	107	2	2	1	1
0	107	2	2	1	2
0	107	2	2	1	3
0	107	2	2	2	1
0	107	2	2	2	2
0	107	2	2	2	3
0	107	2	2	3	1
0	107	2	2	3	2
0	107	2	2	3	3
0	107	2	3	1	1
0	107	2	3	1	2
0	107	2	3	1	3
0	107	2	3	2	1
0	107	2	3	2	2
0	107	2	3	2	3
0	107	2	3	3	1
0	107	2	3	3	2
0	107	2	3	3	3
0	107	3	1	1	1
0	107	3	1	1	2
0	107	3	1	1	3
0	107	3	1	2	1
0	107	3	1	2	2
0	107	3	1	2	3
0	107	3	1	3	1
0	107	3	1	3	2
0	107	3	1	3	3
0	107	3	2	1	1
0	107	3	2	1	2
0	107	3	2	1	3
0	107	3	2	2	1
0	107	3	2	2	2
0	107	3	2	2	3
0	107	3	2	3	1
0	107	3	2	3	2
0	107	3	2	3	3
0	107	3	3	1	1
0	107	3	3	1	2
0	107	3	3	1	3
0	107	3	3	2	1
0	107	3	3	2	2
0	107	3	3	2	3
0	107	3	3	3	1
0	107	3	3	3	2
0	107	3	3	3	3
0	108	1	1	1	1
0	108	1	1	1	2
0	108	1	1	1	3
0	108	1	1	2	1
0	108	1	1	2	2
0	108	1	1	2	3
0	108	1	1	3	1
0	108	1	1	3	2
0	108	1	1	3	3
0	108	1	2	1	1
0	108	1	2	1	2
0	108	1	2	1	3
0	108	1	2	2	1
0	108	1	2	2	2
0	108	1	2	2	3
0	108	1	2	3	1
0	108	1	2	3	2
0	108	1	2	3	3
0	108	1	3	1	1
0	108	1	3	1	2
0	108	1	3	1	3
0	108	1	3	2	1
0	108	1	3	2	2
0	108	1	3	2	3
0	108	1	3	3	1
0	108	1	3	3	2
0	108	1	3	3	3
0	108	2	1	1	1
0	108	2	1	1	2
0	108	2	1	1	3
0	108	2	1	2	1
0	108	2	1	2	2
0	108	2	1	2	3
0	108	2	1	3	1
0	108	2	1	3	2
0	108	2	1	3	3
0	108	2	2	1	1
0	108	2	2	1	2
0	108	2	2	1	3
0	108	2	2	2	1
0	108	2	2	2	2
0	108	2	2	2	3
0	108	2	2	3	1
0	108	2	2	3	2
0	108	2	2	3	3
0	108	2	3	1	1
0	108	2	3	1	2
0	108	2	3	1	3
0	108	2	3	2	1
0	108	2	3	2	2
0	108	2	3	2	3
0	108	2	3	3	1
0	108	2	3	3	2
0	108	2	3	3	3
0	108	3	1	1	1
0	108	3	1	1	2
0	108	3	1	1	3
0	108	3	1	2	1
0	108	3	1	2	2
0	108	3	1	2	3
0	108	3	1	3	1
0	108	3	1	3	2
0	108	3	1	3	3
0	108	3	2	1	1
0	108	3	2	1	2
0	108	3	2	1	3
0	108	3	2	2	1
0	108	3	2	2	2
0	108	3	2	2	3
0	108	3	2	3	1
0	108	3	2	3	2
0	108	3	2	3	3
0	108	3	3	1	1
0	108	3	3	1	2
0	108	3	3	1	3
0	108	3	3	2	1
0	108	3	3	2	2
0	108	3	3	2	3
0	108	3	3	3	1
0	108	3	3	3	2
0	108	3	3	3	3
0	109	1	1	1	1
0	109	1	1	1	2
0	109	1	1	1	3
0	109	1	1	2	1
0	109	1	1	2	2
0	109	1	1	2	3
0	109	1	1	3	1
0	109	1	1	3	2
0	109	1	1	3	3
0	109	1	2	1	1
0	109	1	2	1	2
0	109	1	2	1	3
0	109	1	2	2	1
0	109	1	2	2	2
0	109	1	2	2	3
0	109	1	2	3	1
0	109	1	2	3	2
0	109	1	2	3	3
0	109	1	3	1	1
0	109	1	3	1	2
0	109	1	3	1	3
0	109	1	3	2	1
0	109	1	3	2	2
0	109	1	3	2	3
0	109	1	3	3	1
0	109	1	3	3	2
0	109	1	3	3	3
0	109	2	1	1	1
0	109	2	1	1	2
0	109	2	1	1	3
0	109	2	1	2	1
0	109	2	1	2	2
0	109	2	1	2	3
0	109	2	1	3	1
0	109	2	1	3	2
0	109	2	1	3	3
0	109	2	2	1	1
0	109	2	2	1	2
0	109	2	2	1	3
0	109	2	2	2	1
0	109	2	2	2	2
0	109	2	2	2	3
0	109	2	2	3	1
0	109	2	2	3	2
0	109	2	2	3	3
0	109	2	3	1	1
0	109	2	3	1	2
0	109	2	3	1	3
0	109	2	3	2	1
0	109	2	3	2	2
0	109	2	3	2	3
0	109	2	3	3	1
0	109	2	3	3	2
0	109	2	3	3	3
0	109	3	1	1	1
0	109	3	1	1	2
0	109	3	1	1	3
0	109	3	1	2	1
0	109	3	1	2	2
0	109	3	1	2	3
0	109	3	1	3	1
0	109	3	1	3	2
0	109	3	1	3	3
0	109	3	2	1	1
0	109	3	2	1	2
0	109	3	2	1	3
0	109	3	2	2	1
0	109	3	2	2	2
0	109	3	2	2	3
0	109	3	2	3	1
0	109	3	2	3	2
0	109	3	2	3	3
0	109	3	3	1	1
0	109	3	3	1	2
0	109	3	3	1	3
0	109	3	3	2	1
0	109	3	3	2	2
0	109	3	3	2	3
0	109	3	3	3	1
0	109	3	3	3	2
0	109	3	3	3	3
0	110	1	1	1	1
0	110	1	1	1	2
0	110	1	1	1	3
0	110	1	1	2	1
0	110	1	1	2	2
0	110	1	1	2	3
0	110	1	1	3	1
0	110	1	1	3	2
0	110	1	1	3	3
0	110	1	2	1	1
0	110	1	2	1	2
0	110	1	2	1	3
0	110	1	2	2	1
0	110	1	2	2	2
0	110	1	2	2	3
0	110	1	2	3	1
0	110	1	2	3	2
0	110	1	2	3	3
0	110	1	3	1	1
0	110	1	3	1	2
0	110	1	3	1	3
0	110	1	3	2	1
0	110	1	3	2	2
0	110	1	3	2	3
0	110	1	3	3	1
0	110	1	3	3	2
0	110	1	3	3	3
0	110	2	1	1	1
0	110	2	1	1	2
0	110	2	1	1	3
0	110	2	1	2	1
0	110	2	1	2	2
0	110	2	1	2	3
0	110	2	1	3	1
0	110	2	1	3	2
0	110	2	1	3	3
0	110	2	2	1	1
0	110	2	2	1	2
0	110	2	2	1	3
0	110	2	2	2	1
0	110	2	2	2	2
0	110	2	2	2	3
0	110	2	2	3	1
0	110	2	2	3	2
0	110	2	2	3	3
